,co2_emissions_tonnes_per_person,poverty_percent_people_below_550_a_day,sp_dyn_le00_in,gini,at_least_basic_sanitation_overall_access_percent,energy_use_per_person,sugar_per_person_g_per_day,gdppercapita_us_inflation_adjusted,smoking_adults_percent_of_population_over_age_15,hepb3_immunized_percent_of_one_year_olds,suicide_per_100000_people,working_hours_per_week,literacy_rate_adult_total_percent_of_people_ages_15_and_above,corruption_perception_index_cpi,government_health_spending_per_person_us,food_supply_kilocalories_per_person_and_day,long_term_unemployment_rate_percent,total_health_spending_per_person_us,alcohol_consumption_per_adult_15plus_litres,at_least_basic_water_source_overall_access_percent
Mongolia,7.13,30.6,69.5,32.4,59.2,1840.0,40.3,4070.0,26.3,99.0,14.6,48.0,97.4,36.0,66.2,2510.0,2.21,120.0,3.41,83.2
Montenegro,3.52,4.8,77.3,31.9,95.9,1540.0,131.0,7810.0,,91.0,13.6,42.6,98.5,46.0,389.0,3490.0,5.86,578.0,,97.6
Morocco,1.74,31.3,76.1,39.6,83.5,553.0,109.0,3290.0,15.0,98.0,,44.9,67.1,40.0,56.2,3400.0,2.28,148.0,1.24,83.0
Mozambique,0.31,92.0,58.9,54.0,23.6,428.0,30.7,519.0,12.8,76.0,,36.4,50.6,25.0,15.3,2280.0,,21.3,2.27,47.3
Myanmar,0.41700000000000004,67.6,66.7,38.1,64.7,372.0,46.2,1480.0,30.2,52.0,,48.3,92.7,30.0,2.09,2570.0,0.28600000000000003,17.1,0.58,67.5
Namibia,1.58,50.1,64.8,59.1,33.8,762.0,55.4,5850.0,24.9,82.0,,45.5,76.5,51.0,211.0,2170.0,5.61,361.0,12.1,78.8
Nauru,4.31,,,40.0,65.6,,,9610.0,49.2,99.0,,,,,489.0,,,713.0,4.81,100.0
Nepal,0.284,83.0,70.6,32.8,46.1,413.0,13.0,728.0,30.6,92.0,,53.6,57.4,31.0,9.9,2670.0,0.415,,2.42,87.7
Netherlands,9.91,0.5,81.6,28.2,97.7,4230.0,122.0,53600.0,34.3,,8.88,32.4,,82.0,4430.0,3230.0,1.38,5590.0,9.75,100.0
New Zealand,7.59,,81.7,35.0,100.0,4440.0,162.0,37900.0,28.6,95.0,11.0,33.0,,89.0,2730.0,3140.0,0.8859999999999999,3280.0,9.99,100.0
Nicaragua,0.809,34.8,75.7,46.2,76.3,609.0,116.0,2020.0,,98.0,0.17800000000000002,36.5,78.0,26.0,57.0,2640.0,0.47200000000000003,104.0,5.21,82.3
Niger,0.111,93.4,60.4,34.3,12.9,151.0,14.5,396.0,,75.0,,,28.7,33.0,9.3,2550.0,,18.3,0.34,45.8
Nigeria,0.546,92.1,53.9,43.0,32.6,763.0,29.4,2410.0,7.1,50.0,,43.4,51.1,27.0,23.8,2700.0,,62.8,12.7,67.3
North Korea,1.61,,71.9,37.0,77.1,474.0,10.8,,,94.0,,,100.0,17.0,,2090.0,,,18.3,99.6
Norway,9.27,0.2,82.5,27.5,98.1,5820.0,120.0,91200.0,32.0,,9.78,34.4,,85.0,6790.0,3490.0,0.879,8090.0,8.35,100.0
Oman,15.4,,77.3,40.0,99.3,6140.0,98.8,16100.0,13.1,99.0,0.174,,86.9,44.0,460.0,3140.0,,574.0,0.92,90.9
Pakistan,0.8959999999999999,75.4,66.6,33.5,58.3,484.0,76.0,1220.0,21.1,80.0,,47.4,54.9,32.0,8.38,2440.0,0.938,21.8,0.05,88.5
Palau,12.3,,69.1,40.0,100.0,4870.0,,9980.0,24.0,91.0,,,91.9,,657.0,,,850.0,9.86,99.6
Palestine,0.626,23.6,73.6,33.7,96.0,,,2490.0,,98.0,,42.9,95.3,,,,4.03,,,87.6
Panama,2.25,14.6,78.2,50.4,76.9,1080.0,95.3,11500.0,,87.0,4.52,37.9,94.1,37.0,463.0,2730.0,0.281,616.0,7.3,95.0
Papua New Guinea,0.815,86.9,65.7,41.9,18.6,,,2400.0,,62.0,,,62.4,29.0,35.4,,,49.4,3.64,36.6
Paraguay,0.87,20.1,73.2,47.9,91.2,789.0,69.6,3910.0,24.0,90.0,,42.3,93.9,29.0,59.3,2590.0,0.546,163.0,7.91,98.9
Peru,1.99,24.3,75.2,43.8,76.8,768.0,62.9,6170.0,,91.0,0.644,38.6,89.6,37.0,145.0,2700.0,0.0323,269.0,6.53,89.9
Philippines,1.06,,69.2,42.2,75.0,476.0,64.6,2890.0,26.0,76.0,0.601,41.4,95.4,34.0,27.3,2570.0,0.0144,77.3,6.08,90.5
Poland,7.46,,77.9,30.8,98.1,2490.0,122.0,15800.0,35.6,98.0,11.9,40.1,99.7,60.0,666.0,3450.0,1.07,917.0,14.4,97.9
Portugal,4.3,3.0,81.1,35.5,99.4,2130.0,78.0,23100.0,35.8,97.0,7.86,38.4,95.4,63.0,1610.0,3480.0,2.92,2370.0,13.9,99.9
Qatar,45.4,,78.3,40.0,100.0,18600.0,,65700.0,,93.0,3.04,49.0,96.3,63.0,1150.0,,0.0639,1490.0,1.29,100.0
Romania,3.5,25.7,75.3,28.3,81.8,1590.0,70.1,10900.0,32.6,96.0,7.7,39.0,97.7,48.0,334.0,3360.0,1.36,428.0,16.1,100.0
Russia,11.9,2.7,72.1,37.7,88.8,4940.0,134.0,11400.0,48.5,97.0,31.9,39.3,99.7,29.0,326.0,3360.0,1.5,525.0,16.2,96.4
Rwanda,0.07400000000000001,92.2,67.5,45.1,62.3,,14.1,765.0,,97.0,,32.7,65.8,55.0,27.8,2230.0,1.35,55.5,9.99,56.7
Samoa,1.03,35.9,75.2,42.1,96.6,318.0,89.5,3850.0,41.0,91.0,,39.3,98.8,,179.0,2960.0,0.528,204.0,4.51,95.5
San Marino,,,85.4,40.0,100.0,,,52900.0,,86.0,2.41,,,,3120.0,,,3660.0,,100.0
Sao Tome and Principe,0.594,92.3,66.8,30.8,40.1,270.0,50.5,1310.0,16.9,96.0,1.66,,69.5,46.0,34.5,2400.0,,90.0,8.45,79.7
